steps,crr_price,black_scholes_price,absolute_error,relative_error,currency
25,2608.8973275554486,2583.3073159653286,25.590011590119957,0.009905910702907408,BTC
50,2570.589305646355,2583.3073159653286,12.718010318973484,0.004923150350859834,BTC
100,2576.940044805353,2583.3073159653286,6.367271159975644,0.0024647749497803463,BTC
250,2580.758461532881,2583.3073159653286,2.5488544324475697,0.000986663265611167,BTC
500,2582.0325675925346,2583.3073159653286,1.2747483727939652,0.000493455952729967,BTC
1000,2582.6698617932907,2583.3073159653286,0.6374541720379057,0.00024675893886039733,BTC
25,116.69482994785211,115.54642413249667,1.1484058153554457,0.009938912640330375,ETH
50,114.97480654910535,115.54642413249667,0.5716175833913155,0.0049470815534355585,ETH
100,115.26024382142015,115.54642413249667,0.28618031107652087,0.0024767561023641797,ETH
250,115.43186454556604,115.54642413249667,0.11455958693062485,0.0009914593877804456,ETH
500,115.48912990452511,115.54642413249667,0.05729422797155337,0.0004958546177582638,ETH
1000,115.51777342344705,115.54642413249667,0.02865070904961442,0.00024795842246715273,ETH
