Currency,Option,Spot/Strike USD,BS European USD,CRR European USD,CRR American USD,American premium USD
BTC,call,76975.34,2449.7509621629433,2448.5421895744553,2448.5421895744553,0.0
BTC,put,76975.34,2386.5528212152276,2385.344048629418,2388.59066336268,3.2466147332620494
ETH,call,2118.55,107.37410836779122,107.32086956393927,107.32086956393927,0.0
ETH,put,2118.55,105.6347406494441,105.58150184566554,105.66714593847382,0.08564409280828045
