Currency,lambda_multiplier,jump_vol_multiplier,BS put USD,Merton put USD,Jump premium USD
BTC,0.0,0.5,1178.2770368068814,1178.2770368068814,0.0
BTC,0.0,1.0,1178.2770368068814,1178.2770368068814,0.0
BTC,0.0,1.5,1178.2770368068814,1178.2770368068814,0.0
BTC,0.0,2.0,1178.2770368068814,1178.2770368068814,0.0
BTC,0.5,0.5,1178.2770368068814,1388.1621988108313,209.88516200394997
BTC,0.5,1.0,1178.2770368068814,1696.5001474953795,518.2231106884981
BTC,0.5,1.5,1178.2770368068814,2135.113656093205,956.8366192863236
BTC,0.5,2.0,1178.2770368068814,2656.3526957151917,1478.0756589083103
BTC,1.0,0.5,1178.2770368068814,1584.0315237476002,405.75448694071883
BTC,1.0,1.0,1178.2770368068814,2146.683784046606,968.4067472397246
BTC,1.0,1.5,1178.2770368068814,2913.2958853029318,1735.0188484960504
BTC,1.0,2.0,1178.2770368068814,3797.0955950520256,2618.8185582451442
BTC,1.5,0.5,1178.2770368068814,1768.5377134752623,590.2606766683809
BTC,1.5,1.0,1178.2770368068814,2550.354850219676,1372.0778134127945
BTC,1.5,1.5,1178.2770368068814,3584.414010329103,2406.1369735222215
BTC,1.5,2.0,1178.2770368068814,4753.073260823743,3574.7962240168617
BTC,2.0,0.5,1178.2770368068814,1943.5807339045675,765.3036970976862
BTC,2.0,1.0,1178.2770368068814,2919.7911230854506,1741.5140862785693
BTC,2.0,1.5,1178.2770368068814,4183.140477572613,3004.863440765732
BTC,2.0,2.0,1178.2770368068814,5590.997244117909,4412.7202073110275
ETH,0.0,0.5,51.26724457577302,51.26724457577302,0.0
ETH,0.0,1.0,51.26724457577302,51.26724457577302,0.0
ETH,0.0,1.5,51.26724457577302,51.26724457577302,0.0
ETH,0.0,2.0,51.26724457577302,51.26724457577302,0.0
ETH,0.5,0.5,51.26724457577302,60.47377984565991,9.206535269886892
ETH,0.5,1.0,51.26724457577302,72.98466733184442,21.7174227560714
ETH,0.5,1.5,51.26724457577302,90.53278683342691,39.26554225765389
ETH,0.5,2.0,51.26724457577302,111.14993969510068,59.882695119327664
ETH,1.0,0.5,51.26724457577302,68.94024799126557,17.673003415492545
ETH,1.0,1.0,51.26724457577302,91.47818654236927,40.21094196659625
ETH,1.0,1.5,51.26724457577302,121.72599725848222,70.4587526827092
ETH,1.0,2.0,51.26724457577302,156.21846132551548,104.95121674974246
ETH,1.5,0.5,51.26724457577302,76.82330868260885,25.556064106835834
ETH,1.5,1.0,51.26724457577302,107.83429871100118,56.56705413522816
ETH,1.5,1.5,51.26724457577302,148.24422517967113,96.97698060389811
ETH,1.5,2.0,51.26724457577302,193.4552074529972,142.18796287722418
ETH,2.0,0.5,51.26724457577302,84.23221012145014,32.96496554567712
ETH,2.0,1.0,51.26724457577302,122.65777134070898,71.39052676493596
ETH,2.0,1.5,51.26724457577302,171.68497107003057,120.41772649425755
ETH,2.0,2.0,51.26724457577302,225.81395511491283,174.5467105391398
