Currency,Raw option rows,Usable rows,Median spot (USD),Median mark IV,Min maturity (days),Max maturity (days)
BTC,886,700,80655.09,0.42374999999999996,1.7144194328703704,317.7144194328704
ETH,706,482,2272.75,0.5767,1.7144193287037037,317.7144193287037
