Currency,Option,BS delta,Merton delta,BS gamma,Merton gamma,BS vega,Merton vega
BTC,call,0.5198674060936388,0.569746381512907,6.569472558180862e-05,4.320189554333596e-05,8789.98659667832,630.7515728849467
BTC,put,-0.4801325939063612,-0.4302536184469083,6.569472558180862e-05,4.320189543588879e-05,8789.98659667832,630.7515728394719
ETH,call,0.5277377963209572,0.556729990352317,0.001489169222161015,0.00122485867265934,241.63668714035992,148.53499095847135
ETH,put,-0.4722622036790428,-0.44327000961313723,0.001489169222161015,0.0012248586713928472,241.63668714035992,148.53499095587932
