Currency,Option,Rate,BS price USD,Merton price USD
BTC,call,0.01,2449.7509621629433,3690.3972412084963
BTC,call,0.05,2575.0693131751977,3823.5181441614
BTC,put,0.01,2386.5528212152276,3627.199098640473
BTC,put,0.05,2259.5970507345046,3508.0458801160726
ETH,call,0.01,107.37410836779122,131.53733721599212
ETH,call,0.05,110.72512808976285,135.0041340983093
ETH,put,0.01,105.6347406494441,129.79796943883846
ETH,put,0.05,102.04255830061038,126.32156425078156
