Currency,Observations,Annualized mean,Annualized vol,Skew,Excess kurtosis,Jarque-Bera statistic,Jarque-Bera p-value,Jump share,Index rows
BTC,1459,-0.23585234489362833,0.3366223478612991,-0.5559734703213464,4.936056648728418,1543.5961708549428,0.0,0.026730637422892393,1460
ETH,1459,-0.07580696380623363,0.5342670326087421,-0.3812810434792679,3.4957057838668355,771.331702541136,3.216984250168869e-168,0.02810143934201508,1460
